date,TEMP,HUMIDITY,RAINFALL,SNOWFALL,IRRADIANCE,TOTAL_CLOUD,is_weekend,is_holiday,OT
2022-07-15 00:00:00,25.3,99,0,0,0,97,0,0,3221.09
2022-07-15 01:00:00,25.5,99,0,0,0,99,0,0,3160.91
2022-07-15 02:00:00,25.7,99,0,0,0,100,0,0,3074.34
2022-07-15 03:00:00,25.7,99,0,0,0,43,0,0,3043.98
2022-07-15 04:00:00,25.3,99,0,0,0,28,0,0,3018.72
2022-07-15 05:00:00,25.1,99,0,0,0,100,0,0,2995.86
2022-07-15 06:00:00,25.7,99,0,0,25,60,0,0,3038.94
2022-07-15 07:00:00,27.1,93,0,0,138,99,0,0,3109.17
2022-07-15 08:00:00,28.4,87,0,0,236,100,0,0,3194.27
2022-07-15 09:00:00,29,82,0,0,286,100,0,0,3504.97
2022-07-15 10:00:00,29.2,81,0,0,276,41,0,0,3710.37
2022-07-15 11:00:00,30.5,74,0,0,661,78,0,0,3972.07
2022-07-15 12:00:00,31.3,71,0,0,753,6,0,0,4017.74
2022-07-15 13:00:00,31.9,68,0,0,786,100,0,0,3929.02
2022-07-15 14:00:00,32.5,65,0,0,826,88,0,0,3885.83
2022-07-15 15:00:00,32.5,65,0,0,655,100,0,0,3796.83
2022-07-15 16:00:00,31.5,69,0,0,267,85,0,0,3610.43
2022-07-15 17:00:00,31.2,71,0,0,290,82,0,0,3750.71
2022-07-15 18:00:00,30.3,78,0,0,207,54,0,0,3692.28
2022-07-15 19:00:00,28.5,86,0,0,62,35,0,0,3649.08
2022-07-15 20:00:00,27.7,90,0,0,1,73,0,0,3848.17
2022-07-15 21:00:00,27.3,91,0,0,0,100,0,0,3858.54
2022-07-15 22:00:00,26.5,95,0,0,0,100,0,0,3700.4
2022-07-15 23:00:00,26.2,96,0,0,0,97,0,0,3467.26
2022-07-16 00:00:00,25.5,97,0,0,0,90,1,0,3304.43
2022-07-16 01:00:00,25.2,97,0,0,0,44,1,0,3214.62
2022-07-16 02:00:00,24.3,99,0,0,0,65,1,0,3109.76
2022-07-16 03:00:00,23.8,100,0,0,0,100,1,0,3049.98
2022-07-16 04:00:00,24,100,0,0,0,100,1,0,3012.76
2022-07-16 05:00:00,23.9,100,0,0,0,100,1,0,2992.16
2022-07-16 06:00:00,24.4,99,0,0,26,100,1,0,3085.15
2022-07-16 07:00:00,25.5,98,0,0,130,100,1,0,3101.75
2022-07-16 08:00:00,27.8,91,0,0,274,82,1,0,3065.34
2022-07-16 09:00:00,29.1,83,0,0,305,100,1,0,3290.05
2022-07-16 10:00:00,29,82,0,0,156,100,1,0,3547.68
2022-07-16 11:00:00,29.1,80,0,0,167,100,1,0,3735.55
2022-07-16 12:00:00,29.1,78,0,0,195,100,1,0,3598.36
2022-07-16 13:00:00,29,75,0,0,199,100,1,0,3572.01
2022-07-16 14:00:00,28.5,80,0,0,100,100,1,0,3415.23
2022-07-16 15:00:00,28.6,70,0.2,0,151,100,1,0,3449.1
2022-07-16 16:00:00,27.4,77,1,0,102,100,1,0,3384.52
2022-07-16 17:00:00,26.3,78,0.4,0,53,100,1,0,3406.48
2022-07-16 18:00:00,25.7,80,0,0,41,100,1,0,3344.45
2022-07-16 19:00:00,25,80,0,0,21,100,1,0,3365.94
2022-07-16 20:00:00,25.6,78,0,0,1,100,1,0,3601.48
2022-07-16 21:00:00,25.6,76,0,0,0,100,1,0,3636.13
2022-07-16 22:00:00,25.2,75,0,0,0,100,1,0,3452.16
2022-07-16 23:00:00,25.5,74,0,0,0,29,1,0,3256.33
2022-07-17 00:00:00,25.2,79,0,0,0,99,1,0,3156.44
2022-07-17 01:00:00,25.5,83,0,0,0,100,1,0,3093.74
2022-07-17 02:00:00,25.6,90,0.1,0,0,94,1,0,2995.08
2022-07-17 03:00:00,25.3,95,0.9,0,0,100,1,0,2894.47
2022-07-17 04:00:00,25.2,96,2,0,0,100,1,0,2786.07
2022-07-17 05:00:00,24.9,97,3.6,0,0,100,1,0,2705.83
2022-07-17 06:00:00,24.9,97,4.6,0,2,100,1,0,2734.52
2022-07-17 07:00:00,24.9,98,2.9,0,23,100,1,0,2704.32
2022-07-17 08:00:00,25.8,93,1.9,0,56,100,1,0,2612.48
2022-07-17 09:00:00,26,93,0.2,0,137,100,1,0,2639.78
2022-07-17 10:00:00,26.1,93,0.1,0,205,100,1,0,2721.32
2022-07-17 11:00:00,27.2,87,0.1,0,278,100,1,0,2857.98
2022-07-17 12:00:00,28,86,0.1,0,206,100,1,0,2887.77
2022-07-17 13:00:00,27.2,90,0.9,0,239,100,1,0,2820.41
2022-07-17 14:00:00,27.6,88,1,0,377,52,1,0,2815.04
